word,Entropy
sarik,6.05987056186274
kerai,6.04432143686484
tarik,6.04214478730041
kurai,6.0331412411641
kiras,6.0307856813546
katir,6.02474161920213
kasir,6.01431265220786
kitar,6.00981217805163
kisar,6.00203289189728
kerat,6.00007366369755
serak,5.99867561990561
karil,5.99258918421842
larik,5.9900357261674
kilar,5.98757128798209
keras,5.98635521250276
terak,5.98358161396116
karut,5.98116777226142
kuras,5.97915533556362
saruk,5.97849371747507
takir,5.97618826736337
ketar,5.97092524779132
sarit,5.9676238838094
kiran,5.96375340227549
tikar,5.96219456284065
taruk,5.96058210282736
karet,5.95618097775583
ritak,5.95529906331645
kirau,5.95155004620905
sirat,5.94777548935959
rakit,5.94761465586024
kelar,5.94525782663468
risak,5.94365224972025
serai,5.94095677326904
salik,5.9402073777387
sekar,5.93820936278992
kasur,5.93424624711069
kilat,5.93275916265645
surai,5.93262841816869
rakis,5.93218239137393
sukar,5.9318797472381
lerak,5.92870109755341
kalis,5.92780829655484
satir,5.9259109421197
kelai,5.92527161863615
ketai,5.92455593029246
sitak,5.92429075988157
taris,5.92054702808714
kater,5.91773734353058
kalui,5.91681121948677
keran,5.91522727987449
retak,5.9143590264575
karti,5.91349378526869
kulai,5.91342281772461
tukar,5.91317913829541
sakit,5.91301737415574
kutai,5.9115902286994
kilas,5.91062406175638
kuran,5.91035683862376
kisat,5.90848073531761
kerau,5.90821527339073
sitar,5.90820286668612
tasik,5.90726093263374
tiras,5.90614695724658
serat,5.90173548334499
resak,5.8994634678086
surat,5.89779641491964
karun,5.89769556962216
salir,5.89740030131333
takur,5.89484338110479
sikat,5.89483109745758
sarin,5.89433586396384
katil,5.89430777789142
rusak,5.8929127330816
kasui,5.89148557576146
kelat,5.88730232287685
rekat,5.88681290112106
selak,5.88512723434708
lasik,5.8848808959192
litak,5.8841854182079
sarut,5.88398718753147
kulat,5.88241530500928
parik,5.8817325332051
karel,5.88147768485805
sanik,5.88076052850359
kuria,5.8752128783053
rasuk,5.8749944516423
laris,5.87417676669064
kelas,5.87200842862688
kalut,5.8706587273001
telak,5.87038574843345
kesat,5.86739678708953
tukai,5.86644935793843
rakut,5.86633080230719
saluk,5.86484885542472
lerai,5.86409215305291
lekar,5.86398054841235
sinar,5.86330686052289
tulak,5.86311001895684
teras,5.86302085967492
tiran,5.85903736528177
likat,5.85684400962876
turas,5.85629545428101
sekat,5.85416237601208
kapir,5.85382239840478
kilan,5.85373972409958
tikas,5.85356329818657
sukat,5.84906626585844
rakus,5.84889447950225
kalus,5.84806507507116
kasut,5.84757509632501
lakur,5.84464865114217
sakin,5.84407727798766
letak,5.84135175583517
selar,5.83974471741232
raket,5.8375265085941
likas,5.83711499448711
kipar,5.83667762042824
barik,5.83647041549205
kamir,5.83615357253457
ketal,5.83520695912318
kilau,5.83499768305266
seran,5.82967131948409
relai,5.8295525444943
karim,5.828911755578
tirau,5.82839976181564
lesak,5.82797755024971
kutal,5.82674903827958
talek,5.82341635120462
silat,5.82143739986557
latuk,5.82134997541103
kimar,5.82040081464611
senak,5.82026598892687
setai,5.8201267364515
kates,5.81986843081655
kaset,5.81965122486452
kesal,5.81958026962522
perak,5.81897327086184
kabir,5.81891748367134
pakir,5.81756163632797
salur,5.81683626627951
ketan,5.8147887455817
selai,5.81384828970093
senar,5.81243311360134
kusal,5.81213756691408
tular,5.81193207595078
sarun,5.81155773751066
lekat,5.81124376428371
larut,5.81117814895673
tikan,5.81033511581723
kutan,5.81016492841451
rekal,5.81006523352402
teran,5.80980869298474
lukat,5.80940276692549
kirap,5.80915119128441
tunak,5.80738948321274
tukas,5.80676581169959
sekal,5.80655713741847
serau,5.80645779989647
teral,5.80610213905313
kenas,5.80476876286188
kibar,5.80439495584203
kulan,5.80437296821148
retas,5.80297264951058
tenak,5.80220926030581
rekan,5.80069165190205
kesan,5.79830216376707
lekas,5.79732762856226
rapik,5.79600019093344
katun,5.79383975672712
lukas,5.79194096824169
kepar,5.79110459343413
tenar,5.79026983997307
satin,5.78801020532334
karst,5.7867111121602
saren,5.78609490075005
tukal,5.78554979323749
parit,5.78473836662193
katel,5.78432254059077
renai,5.78425135251739
lasit,5.78343405908819
terau,5.78329158466184
merak,5.78256641871941
sekan,5.78223350268824
tilas,5.78176291337749
rakun,5.78159151663738
sukan,5.78100201149853
relas,5.78042475707164
selat,5.78036576690306
latis,5.78002622810194
berak,5.77841130353572
lunak,5.77820190230142
salin,5.77625924925874
ratus,5.77570277957634
kenal,5.77193583612646
letai,5.771755926069
tanur,5.77165645860702
burak,5.77148918802492
kapit,5.76978539849065
kartu,5.76934687446874
bakir,5.76881606214115
latur,5.76726028245293
kapur,5.766148141644
paris,5.76598220477604
kasti,5.76589824789124
tekan,5.76450958382069
salut,5.76192648610182
keram,5.76076156433361
raksi,5.76066531451683
kerap,5.76015366585744
patik,5.7598398191174
rabik,5.7595199832326
sakti,5.75874821512778
kurap,5.75388083515603
perai,5.75181318170496
sapir,5.75180650657347
kapis,5.74898079935063
pilak,5.74784749320535
pasik,5.7464516489532
tunai,5.74638131918477
pitak,5.74487978561698
risau,5.74368644951672
tilan,5.74364917156678
telas,5.7425231322433
kaper,5.74078353718837
rutan,5.7405204877507
kerit,5.74015814570796
latin,5.73927510708001
kepai,5.73880447784296
repak,5.73707507469256
takel,5.73641517348735
lakri,5.73620785456928
karib,5.73532390626512
pasir,5.73453409547649
tipak,5.73423529508177
barit,5.73369542559719
pisak,5.73320554808647
kipas,5.73257940312438
kabur,5.73196572298224
samir,5.73194846356882
sunat,5.73188162297132
tapir,5.73026658683755
setal,5.72969181685449
retal,5.72914071191577
resan,5.72876982176097
kabit,5.72761045185691
laser,5.72731931996844
kamis,5.72711827679384
senat,5.72690182145664
lunar,5.72666941539657
simak,5.72650026287718
setan,5.72553253285027
kadir,5.72523593086835
mirat,5.72500271452451
sarip,5.72350752788818
pitar,5.72348339192528
ratun,5.72322317491443
lapik,5.72290095938734
mekar,5.72241447835705
malik,5.72240171018457
silau,5.72215236515807
kanti,5.72181827667079
lesat,5.72158529691562
sutan,5.721150826928
sarok,5.72102879148873
pikat,5.72074253977407
talus,5.72043293711002
terik,5.71994799691115
kirab,5.71903989697058
remak,5.71770389354172
keris,5.71690764722083
perat,5.71688409561817
birat,5.71655390840928
pakis,5.71627029565915
balik,5.71597591028386
baris,5.71596746098941
selan,5.71395577665923
sorak,5.71344568027954
tipar,5.71292167150723
murai,5.71288590904339
matik,5.71266118718807
miras,5.71261289813106
iuran,5.71082436629808
kumai,5.71062808395044
sibak,5.70973615961269
tabik,5.70936749004012
batik,5.7081890944411
berai,5.7079959744805
sepak,5.70736955783921
kidar,5.70640395142382
peras,5.70623986930726
lasut,5.70544140590622
tarip,5.70514898582688
paker,5.70494289065645
siram,5.7045621855993
kipal,5.70440251719816
bilak,5.70420827834702
taksi,5.7038903457462
pelak,5.70384394494325
sirap,5.7038189335232
biras,5.70249392417991
rebak,5.70206488729833
lisan,5.70195100980866
petak,5.70160194832685
kamil,5.70102889953189
kebai,5.70053868062846
burai,5.70013514283359
torak,5.69918295374732
panik,5.69807286572175
kupat,5.69804386892118
telan,5.6970021616036
parut,5.69589920287335
pilar,5.69589869090797
relau,5.69560574430207
sibar,5.69427232853609
tunas,5.69395623943678
laken,5.69273650534832
kilap,5.69241325717587
tabir,5.69218048967178
masir,5.69216641313248
kibas,5.69191670124131
israk,5.69189014101967
rasul,5.69160962405661
kasip,5.69085438855393
tepak,5.68937544922288
panir,5.68901567676543
pesak,5.68809661345867
pinak,5.68799702433283
kasim,5.6867550580564
kelua,5.6864974010793
semak,5.68445047293597
basir,5.68395237708277
kabil,5.68361141976653
ketua,5.68263091423848
kemat,5.68262924763612
kelir,5.6825984889118
tiram,5.68156320008663
kupas,5.68152923908983
saten,5.68067051590572
talun,5.68015071237453
pusak,5.67987708001283
merat,5.67763921382473
kipan,5.67746788541448
rabuk,5.67557099136336
kumat,5.67546461704152
mikat,5.6754539812744
pekat,5.67493964135713
patuk,5.67475155167616
lapir,5.67347579155955
setia,5.67333250281475
sinau,5.67287153868446
kosar,5.67283058604488
pinar,5.67205494730588
putar,5.67135751817573
seruk,5.67095488233021
berat,5.67052760811706
selia,5.67002008411504
kisam,5.66976157689849
kerut,5.66961494850325
pukat,5.66926392956375
kemas,5.66926111624116
lunas,5.66775362993738
pusar,5.66681949429773
kalor,5.66666960104412
sapit,5.66651748462026
sebak,5.66608161596276
derak,5.66543599642167
renal,5.66515843814527
tapuk,5.66494344088137
temak,5.66486595173605
kebat,5.6645105750454
telau,5.66443710199593
burat,5.66440851144881
lerik,5.66426543389599
nekat,5.66395957216926
pasuk,5.66374945138588
kapus,5.66238694162563
lepak,5.66236390695219
kedar,5.66152542824493
muras,5.66084992601077
belak,5.66018564654967
palit,5.66015373983447
beras,5.6598728726045
manik,5.65903394037467
kapri,5.65891941544732
seram,5.65862065287949
natur,5.65831842671401
subak,5.65785789563596
pirau,5.65764143618342
lesan,5.65745967750185
kepal,5.65736169110794
pekas,5.6573249148084
marut,5.6571339482064
rabit,5.6570470612787
kabin,5.65700491272439
kotai,5.6564280339234
kapet,5.65634803522047
teruk,5.65566260252884
serap,5.6556607512821
karih,5.65549586531509
sikap,5.65401807472464
bulak,5.65331549741243
suram,5.652913733016
buras,5.65279424532093
surek,5.65227245009133
patek,5.65212804672747
sebar,5.65208691097524
remai,5.6520373743057
talen,5.6519334236512
tebak,5.65096037636134
kebas,5.64938664894229
barut,5.64911342444138
kuret,5.6489788697253
banir,5.64869846956433
pukas,5.64861725985147
pasit,5.64808474090954
temar,5.64777652214243
ranti,5.64759765452398
koral,5.64729523919186
kelap,5.64712496554523
lanus,5.64634270595766
ketap,5.64555092788522
